"World Region","ISO_A3","Country","1A1a","1A1bc","1A2","1A3a","1A3b","1A3c","1A3d","1A3e","1A4","1B1","1B2","1C1","1C2","2A1","2A2","2A7","2B","2C","2D","2E","2F1","2F2","2F3","2F4","2F5","2F7","2F8","2F9","2G","3A","3B","3C","3D","4A","4B","4C","4D1","4D2","4D3","4D4","4E","4F","5A","5C","5D","5F","5F1","5F2","5FL","6A","6B","6C","6D","7A","7B","7C","7D","TOTAL" 
"Brazil","BRA","Brazil",3.00975e+0,8.57724e+0,3.07438e+1,4.35008e-2,1.74164e+1,1.07188e-1,3.03627e-1,0,1.26610e+2,5.71568e+2,6.71777e+2,0,0,0,0,0,2.23670e+0,3.01065e+0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17292e+4,2.68162e+2,2.37040e+2,0,0,0,0,5.27664e+2,1.84276e+2,1.43775e+3,1.64318e+0,0,0,0,0,0,7.72391e+2,1.88359e+3,8.63980e+0,3.19008e+0,0,0,0,0,1.84890e+4
"Rest South America","ARG","Argentina",1.00747e+0,5.39980e-1,3.34789e+0,1.44863e-2,9.97682e+0,0,2.93076e-3,0,6.23919e+0,2.36587e+1,7.11194e+2,0,0,0,0,0,6.35004e-1,1.12890e-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18274e+3,5.87808e+1,1.47140e+1,0,0,0,0,8.12760e+0,4.58906e+1,1.83721e+1,6.34536e+1,0,0,0,0,0,1.76919e+2,2.40624e+2,0,0,0,0,0,0,4.56635e+3
"Rest South America","BOL","Bolivia",1.35872e-1,4.03036e-2,5.90082e-1,1.92592e-3,3.96953e-1,1.73752e-3,0,0,8.39769e+0,2.01190e+0,1.96059e+2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.20067e+2,1.17188e+1,1.54259e+1,0,0,0,0,4.92192e+1,3.48830e+0,3.45100e+2,0,0,0,0,0,0,1.86655e+1,3.99255e+1,0,0,0,0,0,0,1.11125e+3
"Rest South America","BVT","Bouvet Island",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Rest South America","CHL","Chile",9.24642e-1,1.69338e-1,1.93124e+0,1.37313e-2,2.22145e+0,3.29593e-3,2.66266e-1,0,3.64820e+1,2.94386e+1,1.48003e+2,0,0,0,0,0,5.68600e+0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05824e+2,1.10825e+1,3.32252e+0,0,0,0,0,0,2.44707e+0,3.80160e-2,1.54121e+0,0,0,0,0,0,5.06502e+1,2.39087e+2,0,0,0,0,0,0,8.39131e+2
"Rest South America","COL","Colombia",3.07036e-1,2.82002e-1,2.93159e+0,8.15101e-4,4.09234e+0,3.37953e-3,4.41826e-2,9.93528e-2,2.94653e+1,1.48617e+2,3.34785e+2,0,0,0,0,0,4.11729e-2,3.08700e-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59956e+3,3.91122e+1,1.05980e+2,0,0,0,0,2.25377e+1,1.36394e+1,4.34513e+1,0,0,0,0,0,0,9.28337e+1,2.01153e+2,0,0,0,0,0,0,2.63896e+3
"Rest South America","ECU","Ecuador",4.95245e-2,2.06446e-2,5.37548e-1,8.36000e-5,1.82234e+0,8.68761e-4,1.88880e-1,0,1.01458e+1,9.49893e+0,1.10628e+2,0,0,0,0,0,7.47000e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.02764e+2,9.71069e+0,8.44995e+1,0,0,0,0,3.44328e-1,3.23808e+0,4.64086e+0,0,0,0,0,0,0,2.23706e+1,5.67662e+1,0,0,0,0,0,0,6.17227e+2
"Rest South America","FLK","Falkland Islands (Malvinas)",5.93592e-4,0,3.40242e-4,5.15050e-6,7.36327e-4,0,1.93040e-5,2.93320e-5,3.55429e-4,1.00750e-2,6.13791e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75575e+0,7.45071e-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27624e-2,1.54574e-2,9.90912e-5,1.82937e-5,0,0,0,0,3.88136e+0
"Rest South America","GUF","French Guiana",6.39864e-3,0,2.09051e-2,2.18244e-4,1.73268e-2,0,8.68658e-5,1.32328e-4,3.36961e-1,4.05139e-1,1.92818e-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.40266e-1,3.14128e-2,9.80142e-1,0,0,0,0,0,2.21156e-2,3.83942e-1,0,0,0,0,0,0,9.04250e-1,8.36676e-1,2.87362e-3,5.30516e-4,0,0,0,0,4.50866e+0
"Rest South America","GUY","Guyana",2.86797e-2,0,7.81482e-2,9.34020e-5,4.90313e-2,0,0,0,3.06658e+0,1.91890e-1,3.34648e-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.51230e+0,4.65237e-1,3.12373e+1,0,0,0,0,2.01194e+0,1.21355e+0,8.28104e+0,0,0,0,0,0,0,1.46024e+0,4.15794e+0,4.62397e-3,8.53656e-4,0,0,0,0,5.87929e+1
"Rest South America","PER","Peru",1.56124e-1,7.11958e-2,3.89451e-1,2.09000e-5,1.09457e+0,0,1.22892e-2,0,2.69414e+1,8.25971e+0,3.66400e+1,0,0,0,0,0,3.00000e-4,2.04290e-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65713e+2,1.20235e+1,8.96723e+1,0,0,0,0,7.64280e-1,5.31030e+0,6.73642e+0,0,0,0,0,0,0,6.10375e+1,1.19392e+2,0,0,0,0,0,0,7.34419e+2
"Rest South America","PRY","Paraguay",0,0,1.67083e+0,0,2.68139e-1,0,3.22384e-3,5.01600e-4,1.96205e+1,1.79242e+1,2.52860e-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18263e+2,1.16684e+1,3.20385e+0,0,0,0,0,1.05132e+2,4.45461e+0,3.98913e+1,8.89080e+0,0,0,0,0,0,2.07414e+1,2.75715e+1,0,0,0,0,0,0,7.79329e+2
"Rest South America","SGS","South Georgia and the South Sandwich Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
