World Region,ISO_A3,Country,1A1a,1A1bc,1A2,1A3a,1A3b,1A3c,1A3d,1A3e,1A4,1B1,1B2,1C1,1C2,2A1,2A2,2A7,2B,2C,2D,2E,2F1,2F2,2F3,2F4,2F5,2F7,2F8,2F9,2G,3A,3B,3C,3D,4A,4B,4C,4D1,4D2,4D3,4D4,4E,4F,5A,5C,5D,5F,5F1,5F2,5FL,6A,6B,6C,6D,7A,7B,7C,7D,TOTAL ,
India +,IOT,British Indian Ocean Territory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
India +,LKA,Sri Lanka,4.62E-02,4.91E-03,2.08E+00,4.14E-03,1.81E+00,4.51E-03,0,1.25E-04,2.09E+01,2.38E+00,4.99E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.77E+01,6.09E+00,2.89E+02,0,0,0,0,0,2.22E-01,0,0,0,0,0,0,0,4.83E+01,1.02E+02,0,0,0,0,0,0,5.41E+02,
India +,MDV,Maldives,5.38E-03,0,5.87E-03,1.42E-04,9.61E-02,0,1.49E-03,3.32E-04,5.25E-03,6.74E-02,7.09E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78E-02,0,0,0,0,0,0,0,6.87E-01,1.28E+00,0,5.42E-03,0,0,0,0,2.25E+00,
India +,NPL,Nepal,0,0,2.12E-01,0,2.54E-01,0,0,0,6.20E+01,6.98E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.88E+02,4.31E+01,3.61E+02,0,0,0,0,3.34E-01,9.22E+00,4.66E-02,0,0,0,0,0,0,9.19E+00,1.18E+02,0,0,0,0,0,0,1.10E+03,
India +,PAK,Pakistan,6.80E-01,6.41E-02,6.82E+00,0,9.64E+00,4.96E-02,0,8.90E-05,1.92E+02,6.48E+01,1.53E+03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32E+03,2.42E+02,8.96E+02,0,0,0,0,1.08E+00,1.08E+01,0,2.27E+00,0,0,0,0,0,2.04E+02,6.86E+02,0,2.42E+00,0,0,0,0,7.17E+03,
Korea,KOR,"Korea, Republic of",3.65E+00,4.21E-01,6.34E+00,5.75E-03,2.14E+01,3.73E-02,2.56E-01,1.30E-02,2.94E+01,5.56E+01,2.17E+02,0,0,0,0,0,2.41E+00,2.78E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.80E+02,2.24E+01,2.98E+02,0,0,0,0,0,3.16E-01,0,0,0,0,0,0,0,9.90E+01,4.41E+02,0,0,0,0,0,0,1.48E+03,
Korea,PRK,"Korea, Democratic People's Republic of",6.81E-02,4.01E-04,4.62E+00,0,2.76E-01,0,0,0,6.54E+01,4.56E+02,1.02E-01,0,0,0,0,0,1.65E-02,9.90E-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.09E+01,7.82E+00,1.46E+02,0,0,0,0,0,3.04E+00,0,0,0,0,0,0,0,4.27E+01,1.14E+02,1.79E-01,0,0,0,0,0,8.91E+02,
China +,CHN,China,2.74E+01,5.27E+00,1.41E+02,2.12E-01,5.39E+01,1.38E+00,3.63E+00,8.88E-01,3.75E+03,2.84E+04,2.74E+03,0,0,0,0,0,3.54E+01,2.55E+01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08E+04,1.68E+03,1.50E+04,0,0,0,0,7.54E+00,1.60E+01,4.28E+00,1.68E+01,0,0,0,0,0,3.79E+03,6.54E+03,2.48E+01,7.64E+00,9.00E+01,0,0,0,7.32E+04,
China +,HKG,Hong Kong,5.60E-01,0,5.22E-01,0,2.25E-01,0,1.83E-04,0,2.73E-01,0,3.46E+01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.10E+01,3.42E+01,2.96E-01,0,0,0,0,0,1.42E+02,
China +,MAC,Macao,8.33E-04,0,6.63E-03,2.73E-04,2.40E-02,0,6.98E-04,2.11E-04,1.20E-02,0,1.36E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.61E+00,1.85E+00,2.11E-02,0,0,0,0,0,6.66E+00,
China +,MNG,Mongolia,7.93E-02,8.36E-04,9.17E-02,1.02E-03,4.32E-01,1.76E-02,2.48E-03,0,5.27E+00,1.91E+01,3.55E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72E+02,1.43E+01,0,0,0,0,0,0,1.51E-02,0,3.74E-01,0,0,0,0,0,3.78E+00,1.14E+01,2.28E-02,0,0,0,0,0,3.27E+02,
China +,TWN,Taiwan_Province of China,3.68E+00,2.23E-01,3.03E+00,2.93E-03,7.39E+00,6.25E-03,7.02E-02,0,9.63E-01,5.36E+00,4.41E+01,0,0,0,0,0,5.16E-01,7.06E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71E+01,3.58E+01,0,0,0,0,0,1.45E-02,0,0,0,0,0,0,0,0,1.74E+02,1.14E+02,7.31E-01,0,0,0,0,0,4.08E+02,
Southeastern Asia,BRN,Brunei Darussalam,1.90E-01,6.92E-02,5.34E-02,0,1.71E-01,0,0,0,4.75E-02,2.74E-02,2.16E+02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40E-01,3.35E-01,0,0,0,0,0,0,5.15E-03,0,0,0,0,0,0,0,2.64E+00,1.99E+00,6.94E-02,2.37E-02,0,0,0,0,2.22E+02,
Southeastern Asia,KHM,Cambodia,3.51E-03,0,5.66E-02,1.78E-03,3.77E-02,0,1.10E-03,0,4.86E+01,8.96E+00,5.70E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89E+02,2.81E+01,5.31E+02,0,0,0,0,2.07E+02,2.69E+01,4.32E+02,0,0,0,0,0,0,1.40E+01,6.81E+01,4.04E-01,1.38E-01,0,0,0,0,1.56E+03,
Southeastern Asia,LAO,Lao People's Democratic Republic,8.90E-04,0,3.02E-02,6.77E-04,4.54E-02,0,1.91E-04,7.86E-05,2.70E+01,1.12E+01,2.50E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29E+02,1.65E+01,1.25E+02,0,0,0,0,2.57E+01,9.93E+00,2.04E+01,0,0,0,0,0,0,5.56E+00,2.68E+01,0,0,0,0,0,0,3.97E+02,
Southeastern Asia,MMR,Myanmar,1.36E-01,2.43E-02,4.85E-01,0,5.54E-01,0,3.37E-03,1.31E-04,1.73E+02,3.23E+01,2.83E+02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.56E+02,1.08E+02,1.64E+03,0,0,0,0,3.96E+00,1.00E+02,2.16E+01,0,0,0,0,0,0,6.52E+01,2.62E+02,0,0,0,0,0,0,3.64E+03,
Southeastern Asia,MYS,Malaysia,2.53E+00,1.28E+00,1.81E+00,0,7.46E+00,0,0,7.32E-03,1.81E+01,5.39E+01,1.02E+03,0,0,0,0,0,1.84E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.11E+01,2.25E+01,1.64E+02,0,0,0,0,9.07E+00,7.87E+00,3.22E+01,0,0,0,0,0,0,1.39E+02,1.42E+02,1.86E+00,2.29E+00,0,0,0,0,1.68E+03,
Southeastern Asia,PHL,Philippines,4.18E-01,7.91E-02,2.65E+00,3.87E-03,3.52E+00,0,1.60E-01,0,7.37E+01,1.32E+02,6.82E+01,0,0,0,0,0,1.28E-03,3.32E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.12E+02,8.49E+01,1.12E+03,0,0,0,0,1.26E+00,6.95E+01,0,0,0,0,0,0,0,2.60E+02,4.56E+02,0,4.59E+00,0,0,0,0,2.68E+03,
Southeastern Asia,SGP,Singapore,5.25E-01,1.53E-01,1.30E-02,0,6.04E-01,0,0,0,1.78E-02,3.11E+00,6.15E+01,0,0,0,0,0,3.47E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.70E-01,8.76E-01,0,0,0,0,0,4.15E-01,1.08E-05,0,0,0,0,0,0,0,1.49E+01,2.13E+01,7.21E+00,0,0,0,0,0,1.11E+02,
Southeastern Asia,THA,Thailand,4.29E+00,5.59E-01,1.16E+01,0,1.01E+01,1.60E-02,2.70E-02,0,1.21E+02,4.25E+02,4.57E+02,0,0,0,0,0,5.28E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25E+02,8.15E+01,2.26E+03,0,0,0,0,5.06E+01,8.17E+01,2.62E+01,0,0,0,0,0,0,2.95E+02,3.89E+02,3.18E+00,3.92E+00,0,0,0,0,4.65E+03,
Southeastern Asia,TLS,Timor-Leste,0,0,3.49E-03,0,0,0,0,0,3.43E-01,0,3.63E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53E+01,1.90E+00,1.11E+01,0,0,0,0,0,4.17E-01,0,0,0,0,0,0,0,1.95E-01,3.93E+00,5.26E-03,1.80E-03,0,0,0,0,3.32E+01,
Southeastern Asia,VNM,Viet Nam,1.17E+00,0,2.92E+00,3.97E-03,5.02E+00,2.29E-03,0,4.44E-02,2.69E+02,1.31E+03,1.71E+02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.36E+02,1.99E+02,1.82E+03,0,0,0,0,7.03E+00,8.57E+01,3.83E+00,0,0,0,0,0,0,1.22E+02,4.38E+02,0,0,0,0,0,0,5.07E+03,
Indonesia +,IDN,Indonesia,1.85E+00,1.77E+00,1.81E+01,2.09E-02,2.13E+01,0,3.80E-01,0,2.95E+02,1.14E+03,1.27E+03,0,0,0,0,0,2.37E+00,1.78E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08E+03,1.05E+02,2.75E+03,0,0,0,0,9.93E+01,2.03E+02,4.74E+02,0,2.31E+02,0,0,0,0,1.02E+03,1.55E+03,1.17E+01,1.44E+01,0,0,0,0,1.03E+04,
Indonesia +,PNG,Papua New Guinea,1.22E-02,0,3.53E-02,6.73E-04,4.21E-02,0,2.88E-03,8.16E-04,1.94E+01,5.36E-01,2.33E+01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.66E+00,7.14E+00,9.52E-02,0,0,0,0,2.31E-01,1.55E-01,1.80E+00,0,0,0,0,0,0,3.97E+00,3.15E+01,9.92E-02,0,0,0,0,0,9.49E+01,
Japan,JPN,Japan,1.19E+01,5.65E-01,1.35E+01,7.26E-02,1.17E+01,3.69E-02,1.07E+00,0,1.80E+01,5.59E+01,4.79E+01,0,0,0,0,0,4.65E+00,7.64E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82E+02,1.61E+02,7.72E+02,0,0,0,0,0,6.81E-01,9.65E-04,8.88E-02,0,0,0,0,0,1.45E+02,1.98E+02,1.90E+01,7.40E-01,0,0,0,0,1.95E+03,
Oceania,ASM,American Samoa,0,0,0,0,0,0,0,0,2.16E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62E-02,1.26E-01,0,0,0,0,0,0,1.02E-05,0,0,0,0,0,0,0,3.49E-01,8.20E-02,0,0,0,0,0,0,5.73E-01,
Oceania,ATF,French Southern Territories,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Oceania,AUS,Australia,4.12E+00,8.69E-01,5.69E+00,4.45E-02,9.44E+00,1.14E-01,1.99E-01,3.54E-02,1.94E+01,1.56E+03,2.58E+02,0,0,0,0,0,2.79E-01,7.24E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.95E+03,1.95E+02,1.42E+01,0,0,0,0,1.28E+02,2.31E+01,1.93E+01,4.32E+01,0,0,0,0,0,5.25E+02,6.52E+01,7.01E-03,0,6.00E-01,0,0,0,5.82E+03,
Oceania,CCK,Cocos (Keeling) Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Oceania,COK,Cook Islands,0,0,1.57E-03,0,0,0,0,0,1.30E-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.79E-02,9.62E-02,0,0,0,0,0,0,7.38E-04,0,0,0,0,0,0,0,0,2.72E-02,0,0,0,0,0,0,1.75E-01,
Oceania,CXR,Christmas Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Oceania,FJI,Fiji,4.82E-03,0,7.46E-03,1.21E-03,2.94E-02,0,1.32E-03,3.89E-04,4.09E-01,2.13E-01,9.65E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12E+01,3.57E+00,1.48E+00,0,0,0,0,0,1.05E-01,0,0,0,0,0,0,0,3.95E+00,2.57E+00,0,0,0,0,0,0,3.37E+01,
Oceania,FSM,"Micronesia, Federated States of",0,0,0,0,0,0,0,0,1.36E-03,3.01E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.41E-01,1.32E-01,1.82E-02,0,0,0,0,0,6.71E-04,0,0,0,0,0,0,0,3.17E-01,1.53E-01,0,0,0,0,0,0,1.39E+00,
Oceania,GUM,Guam,0,0,0,0,0,0,0,0,1.77E-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04E-02,6.30E-02,0,0,0,0,0,0,7.34E-04,0,0,0,0,0,0,0,1.76E+00,1.36E+00,0,0,0,0,0,0,3.21E+00,
Oceania,HMD,Heard Island and McDonald Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Oceania,KIR,Kiribati,5.86E-05,0,3.91E-04,4.33E-05,6.19E-04,0,2.23E-05,7.83E-06,7.88E-03,3.01E-02,1.69E-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30E-02,3.59E-02,0,0,0,0,0,0,2.42E-03,0,0,0,0,0,0,0,2.87E-01,3.46E-01,0,0,0,0,0,0,7.25E-01,
Oceania,MHL,Marshall Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.62E-01,8.21E-02,0,0,0,0,0,0,3.44E-01,
Oceania,MNP,Northern Mariana Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.00E-01,1.36E-01,0,0,0,0,0,0,5.37E-01,
Oceania,NCL,New Caledonia,1.47E-03,0,7.25E-03,8.76E-05,1.93E-02,0,6.04E-04,2.32E-04,3.22E-02,4.87E-02,8.45E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.59E+00,7.82E-01,0,0,0,0,0,0,1.97E-03,0,0,0,0,0,0,0,2.19E+00,3.12E-01,0,0,0,0,0,0,1.01E+01,
Oceania,NFK,Norfolk Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.07E-03,0,0,0,0,0,0,4.07E-03,
Oceania,NIU,Niue,0,0,0,0,0,0,0,0,9.61E-05,2.79E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.77E-03,2.78E-02,0,0,0,0,0,0,4.78E-05,0,0,0,0,0,0,0,6.68E-03,1.29E-03,0,0,0,0,0,0,4.60E-02,
Oceania,NRU,Nauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.80E-03,8.18E-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13E-01,1.91E-02,0,0,0,0,0,0,1.43E-01,
Oceania,NZL,New Zealand,4.20E-01,3.63E-02,9.50E-01,6.67E-03,1.01E+00,0,0,1.15E-02,4.02E+00,1.81E+01,2.89E+01,0,0,0,0,0,1.08E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06E+03,1.31E+02,0,0,0,0,0,0,2.88E-01,1.11E+00,0,0,0,0,0,0,5.22E+01,1.10E+01,0,0,0,0,0,0,1.31E+03,
Oceania,PCN,Pitcairn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02E-03,0,0,0,0,0,0,1.02E-03,
Oceania,PLW,Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.30E-02,0,0,0,0,0,0,6.30E-02,
Oceania,PYF,French Polynesia,2.28E-03,0,3.13E-03,9.40E-05,1.87E-02,0,7.11E-04,2.51E-04,1.28E-02,0,5.38E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.34E-01,3.42E-01,0,0,0,0,0,0,1.81E-03,0,0,0,0,0,0,0,2.10E+00,1.07E+00,0,0,0,0,0,0,4.44E+00,
Oceania,SLB,Solomon Islands,6.49E-04,0,2.13E-03,7.92E-05,3.36E-03,0,3.33E-04,9.86E-05,5.40E-01,1.09E-01,1.05E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.35E+01,2.11E+00,3.44E-01,0,0,0,0,0,6.49E-03,0,0,0,0,0,0,0,4.89E-01,1.01E+00,0,0,0,0,0,0,6.81E+01,
Oceania,TKL,Tokelau,0,0,0,0,0,0,0,0,1.86E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-03,3.20E-03,0,0,0,0,0,0,8.46E-05,0,0,0,0,0,0,0,0,6.60E-03,0,0,0,0,0,0,1.11E-02,
Oceania,TON,Tonga,0,0,1.24E-03,0,3.66E-03,0,0,0,2.54E-03,2.31E-02,1.30E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01E+00,9.97E-01,0,0,0,0,0,0,1.27E-03,0,0,0,0,0,0,0,3.42E-01,4.49E-01,0,0,0,0,0,0,2.84E+00,
Oceania,TUV,Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35E-02,4.15E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.96E-02,7.18E-02,0,0,0,0,0,0,1.56E-01,
Oceania,VUT,Vanuatu,2.95E-04,0,9.63E-04,2.77E-05,2.03E-03,0,1.24E-04,3.85E-05,1.17E-01,4.42E-02,5.15E-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.46E+00,1.22E+00,0,0,0,0,0,0,1.31E-02,0,0,0,0,0,0,0,3.57E-01,1.30E+00,0,0,0,0,0,0,1.25E+01,
Oceania,WLF,Wallis and Futuna,0,0,0,0,0,0,0,0,9.06E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.65E-02,7.60E-02,0,0,0,0,0,0,4.52E-04,0,0,0,0,0,0,0,0,8.77E-02,0,0,0,0,0,0,2.32E-01,
Oceania,WSM,Samoa,2.87E-04,0,8.45E-04,1.69E-04,5.06E-03,0,1.77E-04,6.98E-05,2.55E-01,4.20E-02,8.10E-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87E+00,2.47E+00,0,0,0,0,0,0,1.14E-03,0,0,0,0,0,0,0,3.70E-01,1.14E+00,0,0,0,0,0,0,6.16E+00,
Antartica,ATA,Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Int. Shipping,SEA,Int. Shipping,0,0,0,0,0,0,0,0,0,0,1.76E+01,0,5.31E+01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.07E+01,
Int. Aviation,AIR,Int. Aviation,0,0,0,0,0,0,0,0,0,0,0,3.21E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21E+00,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTALS,,,2.65E+02,6.45E+01,5.19E+02,2.22E+00,5.89E+02,5.74E+00,1.20E+01,3.97E+00,1.23E+04,5.20E+04,6.87E+04,3.21E+00,5.31E+01,0,0,0,1.75E+02,7.70E+01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E+05,1.15E+04,3.75E+04,0,0,0,0,1.09E+04,1.58E+03,6.24E+03,2.86E+02,2.31E+02,0,0,0,0,2.90E+04,3.11E+04,9.09E+01,3.43E+02,1.51E+02,0,0,0,3.64E+05,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
