World Region,ISO_A3,Country,1A1a,1A1bc,1A2,1A3a,1A3b,1A3c,1A3d,1A3e,1A4,1B1,1B2,1C1,1C2,2A1,2A2,2A7,2B,2C,2D,2E,2F1,2F2,2F3,2F4,2F5,2F7,2F8,2F9,2G,3A,3B,3C,3D,4A,4B,4C,4D1,4D2,4D3,4D4,4E,4F,5A,5C,5D,5F,5F1,5F2,5FL,6A,6B,6C,6D,7A,7B,7C,7D,TOTAL ,
Rest Central America,PRI,Puerto Rico,0,0,2.46E-03,0,0,0,7.56E-05,1.74E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24E+01,7.05E-01,0,0,0,0,0,0,1.39E-02,0,0,0,0,0,0,0,6.77E+01,1.70E+01,0,0,0,0,0,0,1.08E+02,
Rest Central America,SLV,El Salvador,1.66E-01,7.11E-04,3.62E-01,0,2.82E-01,0,0,0,1.72E+01,4.48E+00,2.27E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.46E+01,2.47E+00,4.30E-01,0,0,0,0,6.31E-01,2.11E+00,0,0,0,0,0,0,0,1.57E+01,3.03E+01,0,0,0,0,0,0,1.49E+02,
Rest Central America,TCA,Turks and Caicos Islands,4.96E-04,0,2.90E-03,0,5.07E-04,0,3.00E-05,6.91E-05,7.77E-04,1.02E-02,7.01E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29E-01,1.19E-01,0,0,0,0,0,0,2.63E-01,
Rest Central America,TTO,Trinidad and Tobago,3.67E-01,4.08E-01,1.39E-01,0,2.84E-01,0,0,0,6.86E-01,1.74E-01,5.57E+02,0,0,0,0,0,1.52E+01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41E+00,3.81E-01,1.61E-01,0,0,0,0,0,4.33E-01,0,0,0,0,0,0,0,1.31E+01,5.45E+01,0,0,0,0,0,0,6.45E+02,
Rest Central America,VCT,Saint Vincent and the Grenadines,4.80E-03,0,1.21E-02,7.14E-06,9.77E-03,0,0,1.01E-06,2.74E-02,3.27E-02,5.11E-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09E-01,1.82E-02,0,0,0,0,0,0,1.36E-02,0,0,0,0,0,0,0,7.07E-01,5.43E-01,0,0,0,0,0,0,1.78E+00,
Rest Central America,VGB,Virgin Islands_British,1.30E-03,0,2.30E-03,3.54E-06,4.78E-03,0,0,0,2.48E-03,5.67E-03,1.82E-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.97E-01,2.81E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58E-01,8.55E-02,0,0,0,0,0,0,8.87E-01,
Rest Central America,VIR,Virgin Islands_USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.42E-02,8.57E-03,0,0,0,0,0,0,9.77E-02,0,0,0,0,0,0,0,1.48E+00,4.76E-01,0,0,0,0,0,0,2.10E+00,
Brazil,BRA,Brazil,4.92E+00,1.75E+01,4.20E+01,3.78E-02,1.92E+01,9.76E-02,3.31E-01,0,1.48E+02,7.66E+02,9.72E+02,0,0,0,0,0,2.53E+00,3.88E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40E+04,3.18E+02,4.57E+02,0,0,0,0,1.45E+01,2.62E+02,1.33E+02,3.70E-02,0,0,0,0,0,6.47E+02,2.26E+03,9.93E+00,3.67E+00,0,0,0,0,2.01E+04,
Rest South America,ARG,Argentina,1.65E+00,8.20E-01,2.93E+00,1.89E-02,6.79E+00,0,1.14E-02,0,4.39E+00,2.84E+01,7.78E+02,0,0,0,0,0,1.27E+00,1.54E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.27E+03,6.14E+01,2.25E+01,0,0,0,0,5.18E+00,6.51E+01,1.50E+01,3.67E+01,0,0,0,0,0,8.90E+01,2.72E+02,0,0,0,0,0,0,4.66E+03,
Rest South America,BOL,Bolivia,2.05E-01,7.24E-02,6.36E-01,1.91E-03,4.87E-01,3.45E-03,2.93E-03,0,1.09E+01,1.55E+00,4.32E+02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.34E+02,1.23E+01,3.18E+01,0,0,0,0,4.73E-01,4.68E+00,7.75E+00,0,0,0,0,0,0,1.93E+01,4.44E+01,0,0,0,0,0,0,1.00E+03,
Rest South America,BVT,Bouvet Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rest South America,CHL,Chile,6.16E-01,1.00E-01,2.70E+00,1.92E-02,1.73E+00,8.15E-03,5.01E-01,0,3.77E+01,2.88E+01,1.31E+02,0,0,0,0,0,8.62E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52E+02,1.41E+01,2.55E+00,0,0,0,0,0,1.77E+00,5.71E-01,9.22E+00,0,0,0,0,0,1.10E+01,2.54E+02,0,0,0,0,0,0,8.57E+02,
Rest South America,COL,Colombia,3.35E-01,2.38E-01,3.08E+00,7.52E-04,3.79E+00,5.90E-03,6.70E-02,0,2.55E+01,2.02E+02,3.41E+02,0,0,0,0,0,5.75E-02,3.80E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81E+03,4.38E+01,7.89E+01,0,0,0,0,6.07E+01,1.21E+01,8.98E+01,0,0,0,0,0,0,1.12E+02,2.18E+02,0,0,0,0,0,0,3.00E+03,
Rest South America,ECU,Ecuador,9.33E-02,2.13E-02,2.83E-01,2.09E-05,1.71E+00,0,1.15E-01,0,7.07E+00,8.05E+00,1.43E+02,0,0,0,0,0,7.47E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49E+02,9.24E+00,9.42E+01,0,0,0,0,6.77E-03,4.47E+00,7.07E-02,0,0,0,0,0,0,2.36E+01,6.29E+01,0,0,0,0,0,0,7.04E+02,
Rest South America,FLK,Falkland Islands (Malvinas),8.10E-04,0,3.53E-04,5.14E-06,8.23E-04,0,1.30E-05,3.00E-05,3.01E-04,9.15E-03,8.65E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76E+00,7.46E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.93E-02,1.36E-02,1.11E-04,2.05E-05,0,0,0,0,3.89E+00,
Rest South America,GUF,French Guiana,8.08E-03,0,2.23E-02,3.13E-04,1.86E-02,0,4.82E-05,1.12E-04,4.70E-01,5.85E-01,2.52E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.37E-01,3.14E-02,1.46E+00,0,0,0,0,0,1.06E-02,4.39E-01,0,0,0,0,0,0,1.08E+00,9.81E-01,3.44E-03,6.35E-04,0,0,0,0,5.66E+00,
Rest South America,GUY,Guyana,3.05E-02,0,7.81E-02,4.88E-05,4.53E-02,0,0,7.16E-07,3.01E+00,3.66E-01,3.84E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.00E+00,6.06E-01,3.50E+01,0,0,0,0,2.11E+00,1.30E+00,1.01E+01,0,0,0,0,0,0,1.65E+00,4.26E+00,5.05E-03,9.32E-04,0,0,0,0,6.56E+01,
Rest South America,PER,Peru,5.82E-01,9.93E-02,4.27E-01,4.18E-05,1.52E+00,0,3.22E-03,4.89E-03,2.44E+01,7.30E+00,7.26E+01,0,0,0,0,0,3.00E-04,2.53E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93E+02,1.30E+01,1.31E+02,0,0,0,0,2.81E-01,5.28E+00,2.08E+00,0,0,0,0,0,0,4.27E+01,1.29E+02,0,0,0,0,0,0,8.23E+02,
Rest South America,PRY,Paraguay,0,0,1.83E+00,0,2.98E-01,0,0,7.94E-04,2.10E+01,6.22E+01,2.19E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.07E+02,1.20E+01,4.62E+00,0,0,0,0,1.21E+01,6.88E+00,5.43E+00,1.53E+00,0,0,0,0,0,2.51E+01,3.19E+01,0,0,0,0,0,0,6.91E+02,
Rest South America,SGS,South Georgia and the South Sandwich Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rest South America,SUR,Suriname,1.93E-02,0,5.01E-02,7.03E-05,3.72E-02,0,2.58E-04,5.57E-04,1.83E-01,6.95E-01,4.28E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.83E+00,2.59E-01,1.51E+01,0,0,0,0,0,2.08E-01,0,0,0,0,0,0,0,2.34E+00,2.49E+00,7.63E-03,1.41E-03,0,0,0,0,2.83E+01,
Rest South America,URY,Uruguay,5.97E-02,9.33E-03,6.46E-01,8.36E-05,2.60E-01,0,0,0,3.93E+00,1.08E+01,1.39E+01,0,0,0,0,0,0,2.20E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.24E+02,1.50E+01,6.77E+01,0,0,0,0,0,2.24E+00,0,1.08E+00,0,0,0,0,0,2.32E+01,1.70E+01,0,0,0,0,0,0,9.80E+02,
Rest South America,VEN,Venezuela,5.46E-01,1.11E+00,1.28E+00,0,1.19E+01,2.26E-03,0,6.90E-03,1.12E+01,1.08E+02,1.06E+03,0,0,0,0,0,3.18E+00,1.62E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13E+03,3.01E+01,3.77E+01,0,0,0,0,6.77E+01,5.32E+00,1.56E+02,0,0,0,0,0,0,1.33E+02,1.32E+02,0,0,0,0,0,0,2.89E+03,
